"","dwc:catalogNumber","FLORACODE","dwc:samplingProtocol","SURVEYNAME","dwc:eventDate","DATEACCURACY","Date Accuracy Range","dwc:identifiedBy","dwc:individualCount","MUSEUMHERBMNR","RELIABDESC","AMGZONE","EASTING","NORTHING","dwc:decimalLatitude","dwc:decimalLongitude"," dwc:identificationVerificationStatus","dwc:scientificName","dwc:family","dwc:vernacularName","dwc:fieldNotes","dwc:Habitat","dwc:georeferenceRemarks","dwc:SamplingLocationRemarks","ISINDIGENOUSFLAG"
"66","RVPO92599-418223","RVPO92599-418223","RV","",2009-03-27,"D","Day","GRIFFIN C. Clare | EDWARDS J.S. Jeff","present but not counted","","251-500m",53,750670,6208517,-34.23427771,137.7215307,"verification required","Avena barbata","GRAMINEAE","Bearded Oat","Collected using the DEWNR Roadside Vegetation Survey Methodology","Austrostipa spp. +/- Austrodanthonia spp. +/- Chloris truncata +/- Enneapogon spp. Native Grassland","Pipeline RD 4.2 km WNW of Arthurton","","N"
"67","RVPO18043-74887","RVPO18043-74887","RV","",1999-08-12,"D","Day","COOLING M.P. Marcus | HOGBEN J.D. Jeremy","present but not counted","","1-10km",54,330774,6182656,-34.48381561,139.1571105,"verification required","Romulea rosea var. australis","IRIDACEAE","Common Onion-grass","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus leucoxylon Woodland with grassy or shrub understorey","Mt Karinya RD 1.4 km WSW of Mount Karinya (summit)","","N"
"68","RVPO68079-297870","RVPO68079-297870","RV","",2003-09-19,"D","Day","CLARK P.D. Peter | HIGGINS G.M. Graeme","present but not counted","","5-50m",54,282546,6123908,-35.00409867,138.6170995,"verification required","Vicia sativa ssp. sativa","LEGUMINOSAE","Common Vetch","Collected using the DEWNR Roadside Vegetation Survey Methodology","Non-endemic Native Species Plantation","Bowman Avenue/Yorke Avenue AVE 0.6 km ESE of Sleep Hill (summit)","","N"
"69","OPP517157-9","OPP517157-9","OP","MURRAY WETL'D ONGOING SAMDB NRMB",2009-02-05,"D","Day","MASON K.P. Kate | TURNER R.J. Rebecca","present but not counted","","5-50m",54,444814,6199778,-34.34183,140.4,"verified","Lactuca serriola f. serriola","COMPOSITAE","Prickly Lettuce","","","Location is Beldora Wetland River Murray","","N"
"70","RVPO28405-125176","RVPO28405-125176","RV","",1999-12-07,"D","Day","WARD M.J. Mathew | O'CONNOR P.J. Patrick","present but not counted","","501-1000m",54,393228,5902948,-37.01358336,139.7997993,"verification required","Lagurus ovatus","GRAMINEAE","Hare's Tail Grass","Collected using the DEWNR Roadside Vegetation Survey Methodology","Grassland dominated by alien species","Kingston-Robe RD 3.4 km NNE of Mount Benson","","N"
"71","OPP930500-18","OPP930500-18","OP","BDBSA RESERVES DATABASE",1994-01-01,"Y","Year","BEAUMONT K. Karin","present but not counted","","251-500m",54,479720,5913130,-36.92764,140.77229,"verified","Eucalyptus baxteri","MYRTACEAE","Brown Stringybark","","","","1235 (HA)","Y"
"72","RVPO18883-76744","RVPO18883-76744","RV","",1999-09-28,"D","Day","PLAYFAIR R.M. Roger | OBST C.S. Chris | TELFER S. Sarah","present but not counted","","501-1000m",54,277789,6111605,-35.11389818,138.5617225,"verification required","Oxalis pes-caprae","OXALIDACEAE","Soursob","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus microcarpa / E. leucoxylon +/- Allocasuarina verticillata Woodland","Bains RD 1.3 km SSW of Woodcroft (suburb centre)","","N"
"73","RVPU66304-84827","RVPU66304-84827","RV","",2002-09-11,"D","Day","SMYTH J. John | O'CONNOR H. Hazel","present but not counted","","",NA,NA,NA,NA,NA,"verification required","Xanthorrhoea semiplana ssp.","LILIACEAE","Yacca","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus lansdowneana / Allocasuarina verticillata +/- E. diversifolia Woodland or Mallee","Fishery Bay RD","","Y"
"74","SUP14712-16","SUP14712-16","SU","COASTAL DUNE & CLIFFTOP",1996-09-23,"D","Day","FOTHERINGHAM D.G. Doug | SANDERCOCK R.K. Ron","present but not counted","","51-100m",54,312887,6060699,-35.57975,138.93496,"verified","Ficinia nodosa","CYPERACEAE","Knobby Club-rush","","","375m from coast hollow on longitudinal dune ridges 200m from GOO00402. Don't rely on drawing. Just up from shell midden and over ridge uphill and central to two ridges.","Coorong (NP)","Y"
"75","RVPO59274-251088","RVPO59274-251088","RV","",2002-10-01,"D","Day","PLAYFAIR R.M. Roger | HORGAN M.A. Melissa","present but not counted","","51-100m",54,266587,6357167,-32.89882815,138.5045298,"verification required","Hordeum glaucum","GRAMINEAE","Blue Barley-grass","Collected using the DEWNR Roadside Vegetation Survey Methodology","Grassland dominated by native species"," RD 1.1 km NNE of Mount Raphael (summit)","","N"
"76","SUP10103-16","SUP10103-16","SU","FLINDERS MANAGEMENT REVIEW",1987-08-08,"D","Day","GREENWOOD G. Graeme | PITTS B. Brenda","present but not counted","","",54,258673,6565579,-31.01872,138.47201,"verified","Convolvulus remotus","CONVOLVULACEAE","Grassy Bindweed","","","","","Y"
"77","OPP965507-1","OPP965507-1","OP","BUFFEL GRASS - SOUTHERN 2/3RDS OF AW NR",2016-08-11,"D","Day","A M-Y ENVIRONMENTAL SERVICES  AMY E","101 - 500","","5-50m",53,434155,6799699,-28.92894,134.32444,"verified","Cenchrus ciliaris","GRAMINEAE","Buffel Grass","Follow up spray Treatment = Sprayed ChemicalUsed = Glyphosate/Flupropanate","","Mabel Creek Pastoral Station","","N"
"78","RVPU30855-30912","RVPU30855-30912","RV","",2000-05-26,"D","Day","CLARK P.D. Peter | HIGGINS G.M. Graeme | REED D. Des","present but not counted","","251-500m",54,402179,6118543,-35.0711293,139.9270955,"verification required","Lomandra sp.","LILIACEAE","Mat-rush","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus incrassata Mallee","Tailem Bend to Loxton RAIL 3.6 km ENE of Karoonda","","Y"
"79","RVPU46797-57364","RVPU46797-57364","RV","",2001-11-13,"D","Day","CLARK P.D. Peter","present but not counted","","501-1000m",54,290445,6225890,-34.08681282,138.7287213,"verification required","Dianella revoluta var. revoluta","LILIACEAE","Black-anther Flax-lily","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus odorata Low Open Forest","Mitchells/Klems (96) RD 3.6 km ESE of Undalya","","Y"
"80","OPP377398-56","OPP377398-56","OP","DEWNR FIRE MANAGEMENT RAMBLE OBS",2008-11-13,"D","Day","PICKETT M.I. Marcus","present but not counted","","501-1000m",54,298519,6128595,-34.96517,138.79315,"verified","Austrostipa sp.","GRAMINEAE","Spear-grass","","","Filsell Hill A09 Prescribed Burn; Incident Number 200810021","Kenneth Stirling (CP)","Y"
"81","OPP738566-2-PENDING","OPP738566-2-PENDING","OP","MORIALTA CP VEGETATION CHANGE",2017-02-03,"D","Day","ANDERSON J. Jacynta","10","PENDING","5-50m",54,290594,6135604,-34.90041,138.70817,"verified","Eucalyptus leucoxylon ssp. leucoxylon","MYRTACEAE","South Australian Blue Gum","Specimen lodged at the Adelaide Herbarium.","","","Morialta (CP)","Y"
"82","RVPO36273-158767","RVPO36273-158767","RV","",2000-11-07,"D","Day","TELFER W.R. Wendy","present but not counted","","1-10km",54,284001,6287856,-33.52708391,138.6740938,"verification required","Echium plantagineum","BORAGINACEAE","Salvation Jane","Collected using the DEWNR Roadside Vegetation Survey Methodology","Exotic and native Grassland ( Stipa sp.  Danthonia sp.)","Yakilo Olives RD 1.7 km NW of Sheoak Hill (summit)","","N"
"83","OPP501361-6","OPP501361-6","OP","WEED DISTRIBUTION DATABASE -SE",2010-09-23,"D","Day","BUSH REPAIRS CONTRACTORS B.R.C. Bus","present but not counted","","No entered",54,467663,5886107,-37.1709,140.63575,"verified","Rhamnus alaternus","RHAMNACEAE","Blowfly Bush","Weed Data Management - Treatment = Chemical.","","","Mary Seymour (CP)","N"
"84","SUP14580-15","SUP14580-15","SU","COASTAL DUNE & CLIFFTOP",1996-09-02,"D","Day","MURFET D.E. Denzel | TAPLIN R.L. Rosemary","present but not counted","","5-50m",53,693779,6054532,-35.63404,137.14005,"verified","Senecio pinnatifolius (NC)","COMPOSITAE","Variable Groundsel","","","Approx 50m in from cliff edge. Sheer cliffs with vertical bedding rock wave cut platforms below approx 500m round coast cliff tops west from house smooth texture more calcareous outcrop.","481 (HA)","Y"
"85","OPP958979-107","OPP958979-107","OP","DEWNR FIRE MANAGEMENT RAMBLE OBS",2019-10-27,"D","Day","PICKETT M.I. Marcus","Present but not counted","","251-500m",54,294700,6116400,-35.07429,138.74834,"verified","Hibbertia devitata","DILLENIACEAE","Smooth Guinea-flower","0","see other comments","Boundary Track (Mt Bold) FIMS ID 703 (5.5 km NW of Echunga)","","Y"
"86","SUP3524-16","SUP3524-16","SU","MURRAY MALLEE",1990-07-19,"D","Day","GILLEN J.S. Jake | LANG P.J. Peter","present but not counted","","5-50m",54,356840,6108444,-35.15674,139.42821,"verified","Caladenia sp.","ORCHIDACEAE","Spider-orchid","","","10.26 km N from Tailem Bend.","841 (HA)","Y"
"87","SUP17268-54448-AD148582","SUP17268-54448-AD148582","SU","NORTH WESTERN EYRE PENINSULA",1999-10-19,"D","Day","KENNY S.D. Sue | WHITEROD D. David","present but not counted","AD148582","51-100m",53,550675,6243485,-33.9479,135.5484,"verified","Austrostipa exilis","GRAMINEAE","Heath Spear-grass","","","Start at Mitchell Phone Exchange (corner of Harris - Mitshan and Koolidie Roads). Take Koolidie Rd N. 2.9 km from intersection pass 'Ukurrie' on right. Continue N 5 km take left fork (N). 1.2 km from fork gate. Koolidierun 600 m N of gate. Take left (W) track. From gate 2.6 km to clearing at 2.8 km","603 (HA)","Y"
"88","OPP489552-1","OPP489552-1","OP","SAMDB NRMB PEST OPS",2011-09-06,"D","Day","SA MURRAY DARLING BASIN NRM  SAMDB","present but not counted","","5-50m",54,336548,6092970,-35.29311,139.20244,"verified","Acacia cyclops","LEGUMINOSAE","Western Coastal Wattle","SITE STATUS = Active.Source = Ranges to River.Source = Creation Care.Single plant","","","","Y"
"89","RVPO57499-244809","RVPO57499-244809","RV","",2002-04-18,"D","Day","BATEMAN T.V. Teresa","present but not counted","","251-500m",54,285154,6193106,-34.38115299,138.6632626,"verification required","Heliotropium europaeum","BORAGINACEAE","Common Heliotrope","Collected using the DEWNR Roadside Vegetation Survey Methodology","Exotic grassland","Ronan RD 3.2 km SSW of Hamley Bridge","","?"
"90","RVPO95463-430970","RVPO95463-430970","RV","",2012-05-11,"D","Day","DICKSON C.R. Cath | CARR C. Chris","present but not counted","","251-500m",54,488737,5939414,-36.69085148,140.8739184,"verification required","Scabiosa atropurpurea","DIPSACACEAE","Pincushion","Collected using the DEWNR Roadside Vegetation Survey Methodology","Allocasuarina luehmannii Woodland","Crinocle TRAC 7.7 km WNW of Frances","","N"
"91","RVPE36853-2","RVPE36853-2","RV","",2000-11-08,"D","Day","TELFER W.R. Wendy","present but not counted","","101-250m",54,264274,6278559,-33.60668074,138.4593888,"verification required","Acacia hakeoides","LEGUMINOSAE","Hakea Wattle","Collected using the DEWNR Roadside Vegetation Survey Methodology","Stipa sp. Tussock Grassland","White Hill RD 2.5 km ENE of Fullers Hill (summit)","","Y"
"92","RVPO818-2235","RVPO818-2235","RV","",1997-05-14,"D","Day","CARRUTHERS S.M. Sandy | STOKES A.L. Adrian","present but not counted","","251-500m",54,441362,5970643,-36.4076004,140.3460138,"verification required","Eucalyptus fasciculosa","MYRTACEAE","Pink Gum","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus arenacea / E. fasciculosa woodland with heath understorey","Keith - Desert Camp RD 1.7 km SSW of Willalooka","","Y"
"93","SUP15911-26","SUP15911-26","SU","COASTAL DUNE & CLIFFTOP",1997-09-17,"D","Day","KENNY S.D. Sue | OPPERMANN A.M. Alison","present but not counted","","51-100m",53,704410,6135258,-34.90455,137.23728,"verified","Threlkeldia diffusa","CHENOPODIACEAE","Coast Bonefruit","","","From COR00102 walk approximately 120 degrees to near cliff. Last crest before cliff edge of prominent strata ends in trees to the north west Melaleuca shrubland.","","Y"
"94","SUP17927-80005-AD154623","SUP17927-80005-AD154623","SU","SOUTHERN MT LOFTY",2000-09-25,"D","Day","TAPLIN R.L. Rosemary | TUCKER P. Peter","present but not counted","AD154623","5-50m",54,301050,6157003,-34.70968,138.8276,"verified","Allocasuarina muelleriana ssp. muelleriana","CASUARINACEAE","Common Oak-bush","","","Enter S section of Para Wirra Recreation Park via gate to Ruins Track 500 m W of Bassnet Road junction with Humbug Scrub Road. Go thru gate & turn R for 50 m to multi-stemmed Pink Gum. Site is 25 m in perpendicular to boundary track in E. goniocalyx / E. fasciculosa Woodland with Tall Heathland.","Para Wirra (CP)","Y"
"95","OPP527447-28","OPP527447-28","OP","MOKOTA CP VEGETATION MONITORING",2013-10-30,"D","Day","ROBERTSON M.A. Meg | O'MALLEY P. Pam","present but not counted","","5-50m",54,310165,6285747,-33.55106,138.95521,"verified","Maireana enchylaenoides","CHENOPODIACEAE","Wingless Fissure-plant","Present in 10 subquadrats.","","Mokota Conservation Park northern slopes off White Hill Road","Mokota (CP)","Y"
"96","RVPU72844-104327","RVPU72844-104327","RV","",2003-10-28,"D","Day","PRATT L.C. Liam","present but not counted","","1-10km",54,263747,6191545,-34.39055851,138.4301996,"verification required","Austrostipa nodosa","GRAMINEAE","Tall Spear-grass","Collected using the DEWNR Roadside Vegetation Survey Methodology","Mixed Grassland contains introduced and native spp.","Broster RD 1.1 km ENE of Calomba","","Y"
"97","RVPE71727-2","RVPE71727-2","RV","",2003-10-02,"D","Day","BIRCHMORE N.J. Neal","present but not counted","","1-10km",54,269505,6184940,-34.45135947,138.4909956,"verification required","Acacia sclerophylla var. sclerophylla","LEGUMINOSAE","Hard-leaf Wattle","Collected using the DEWNR Roadside Vegetation Survey Methodology","Acacia notabilis +/- Acacia spp. +/- Senna artemesioides nothossp. or ssp. Shrubland","Hill RD 2.3 km WSW of Mallala","","Y"
"98","SUP15389-40","SUP15389-40","SU","UPPER MID NORTH",1996-10-16,"D","Day","GRAHAM K.L. Kate | BURGESS G.K. Gavin","present but not counted","","5-50m",54,242812,6450500,-32.05249,138.27605,"verified","Solanum ellipticum (NC)","SOLANACEAE","Velvet Potato-bush","","","Site located on east aspect of gully and approx 1.0km from KAN00201. GPS location 243195 6450100.","","Y"
"99","SUP6001-8","SUP6001-8","SU","OFFSHORE ISLANDS",1982-04-17,"D","Day","ROBINSON A.C. Tony | STORR R.F. Robin","present but not counted","","101-250m",53,372329,6407972,-32.45811,133.6416,"verified","Gramineae sp.","GRAMINEAE","Grass Family","","","34km S from Thevernard.","Nuyts Archipelago (WA)","Y"
"100","SUP3824-1","SUP3824-1","SU","MURRAY MALLEE",1990-07-13,"D","Day","GILLEN J.S. Jake | CANTY P.D. Peter","present but not counted","","5-50m",54,496718,6152860,-34.76641,140.96414,"verified","Eucalyptus incrassata","MYRTACEAE","Ridge-fruited Mallee","","","7.5 km NE from Moonah Bore.","","Y"
"101","OPP798603-74","OPP798603-74","OP","BDBSA RESERVES DATABASE",1988-12-06,"D","Day","ASHMAN G.W. Glyn | LANG P.J. Peter","present but not counted","","501-1000m",54,275984,6071592,-35.47396,138.531,"verified","Cullen australasicum","LEGUMINOSAE","Tall Scurf-pea","","**Birds** No information on file**Rem** 10% (Hd of Encounter Bay)**Environmental Association**=12% (Bob Tiers=3.2.5)","Area Y on GRO 430/1992","768 (HA)","Y"
"102","RVPU96892-171359","RVPU96892-171359","RV","",2014-07-23,"D","Day","NEW B.D. Bill | EDWARDS J.S. Jeff","present but not counted","","251-500m",53,746417,6163791,-34.63819347,137.688283,"verification required","Avena sp.","GRAMINEAE","Oat","Collected using the DEWNR Roadside Vegetation Survey Methodology","Revegetation non-local / exotic tree spp. over native species","Gregor RD 4.4 km ENE of Koolywurtie","","N"
"103","SUP17272-42005","SUP17272-42005","SU","NORTH WESTERN EYRE PENINSULA",1999-09-16,"D","Day","HEARD L.M.B. Lee | BOYLE M.A. Maureen","present but not counted","","5-50m",53,461279,6346991,-33.01485,134.58543,"verified","Austrostipa elegantissima","GRAMINEAE","Feather Spear-grass","","","Travelling SE along Flinders Highway turn left at silos into Woorong Boolong Rd. Travel for 2.8 km from silos to 'Witera Farm' entrance on left. Travel along road for 4.3 km to grid. From grid travel further 1.9 km to cockies gate. Travel further past second gate for 2.3 km to site. From track walk","688 (HA)","Y"
"104","OPP456861-1","OPP456861-1","OP","AMLR HISTORICAL NRMB WEEDS",2008-06-23,"D","Day","GRAY C. C.","present but not counted","","No entered",54,272738,6105412,-35.16856,138.50464,"verified","Lycium ferocissimum","SOLANACEAE","African Boxthorn","","","","","N"
"105","SUP29823-254567","SUP29823-254567","SU","YUDNAPINNA AND LAKES",2007-03-29,"D","Day","JAY J. Justin | LANG P.J. Peter","present but not counted","","5-50m",53,656034,6488189,-31.7311,136.64704,"verified","Atriplex vesicaria","CHENOPODIACEAE","Bladder Saltbush","","","Site located on main Oakden Hills - Mahanewo Mail Road east of Lake McFarlane causeway on north side of road toward clump of Alectryon oleifolius.","","Y"
"106","SUP318-4","SUP318-4","SU","RARE RODENTS PROJECT",1992-10-13,"D","Day","BRANDLE R. Robert","present but not counted","","51-100m",54,285723,7343177,-24.00897,138.89345,"verified","Frankenia serpyllifolia","FRANKENIACEAE","Thyme Sea-heath","","","1.7km NNW from Twelve Mile Water Hole.","","Y"
"107","SUP9697-7","SUP9697-7","SU","FLINDERS MANAGEMENT REVIEW",1984-09-20,"D","Day","BARRATT R.R. Rick | TYNAN R.W. Roger","present but not counted","","",54,272922,6540579,-31.24694,138.61553,"verified","Calotis hispidula","COMPOSITAE","Hairy Burr-daisy","","","","","Y"
"108","RVPU77616-114025","RVPU77616-114025","RV","",2004-02-08,"D","Day","SUTHERLAND R.L. Robyn | TELFER S. Sarah","present but not counted","","101-250m",54,456071,6211651,-34.23529855,140.5229898,"verification required","Roepera apiculata","ZYGOPHYLLACEAE","Pointed Twinleaf","Collected using the DEWNR Roadside Vegetation Survey Methodology","Senna artemisioides ssp. Mixed Shrubland","Barmera - Monash RD 3.2 km WNW of Monash","","Y"
"109","SUP9573-10","SUP9573-10","SU","FLINDERS MANAGEMENT REVIEW",1986-04-18,"D","Day","GRANFIELD L. N/A | TYNAN R.W. Roger","present but not counted","","",54,284422,6551979,-31.14634,138.73865,"verified","Rhagodia spinescens","CHENOPODIACEAE","Spiny Saltbush","","","","","Y"
"110","RVPU40615-47253","RVPU40615-47253","RV","",2001-03-09,"D","Day","CLARK P.D. Peter | HIGGINS G.M. Graeme","present but not counted","","101-250m",53,519570,6357875,-32.91718283,135.2092973,"verification required","Enchylaena tomentosa var.","CHENOPODIACEAE","Ruby Saltbush","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus oleosa Mallee","Eyre Highway HWY 6.8 km WNW of Yaninee","","Y"
"111","OPP798151-95","OPP798151-95","OP","BDBSA RESERVES DATABASE",1992-04-17,"T","Decade","HODDER M.W. Mike","present but not counted","","1-10km",54,486497,5945916,-36.63221,140.84896,"verified","Leucopogon woodsii","EPACRIDACEAE","Nodding Beard-heath","","**Birds** Red-tailed Black Cockatoo Black-chinned Honeyeater Peregrine Falcon Southern Whiteface recordedE. leucoxylon woodland over a wetland understorey (C. rugulosus M decussata L. juniperinum) is restricted to Hds of Geegeela and Beeamma in S.A","GEEGEELA : 22 25 Two blocks on GRO separated only by minor road reserve.","Geegeela (CP)","Y"
